,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
1,12 Clock Point,60170,2,Pedestrian,1,9999
0,Non-Harmful Event,60170,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60170,2,Pedestrian,1,9999
0,Not Reported,60171,1,Pedestrian,1,9999
1,Non-Harmful Event,60171,2,Ran off Roadway - Direction Unknown,1,9999
2,Not Reported,60171,3,Culvert,1,9999
3,12 Clock Point,60171,4,Other Object (not fixed),1,9999
4,12 Clock Point,60171,5,Wall,1,9999
5,Not Reported,60171,6,Tree (Standing Only),1,9999
0,Not Reported,60171,1,Pedestrian,1,9999
1,Non-Harmful Event,60171,2,Ran off Roadway - Direction Unknown,1,9999
2,Not Reported,60171,3,Culvert,1,9999
3,12 Clock Point,60171,4,Other Object (not fixed),1,9999
4,12 Clock Point,60171,5,Wall,1,9999
5,Not Reported,60171,6,Tree (Standing Only),1,9999
0,Non-Harmful Event,60174,1,Cross Centerline,1,5555
1,Non-Harmful Event,60174,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60174,3,Wall,1,9999
3,12 Clock Point,60174,4,Fence,1,9999
4,12 Clock Point,60174,5,"Other Post, Other Pole or Other Supports",1,9999
5,12 Clock Point,60174,6,"Other Post, Other Pole or Other Supports",1,9999
6,12 Clock Point,60174,7,Fence,1,9999
7,12 Clock Point,60174,8,Building,1,9999
0,12 Clock Point,60175,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60175,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60175,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60176,1,Pedestrian,1,9999
0,12 Clock Point,60177,1,Motor Vehicle In-Transport ,1,2
1,Not Reported,60177,2,Motor Vehicle In-Transport ,2,3
2,Non-Harmful Event,60177,3,Ran Off Roadway - Right,2,5555
3,Not Reported,60177,4,Guardrail Face,2,9999
4,Non-Collision,60177,5,Rollover/Overturn,2,9999
0,Non-Harmful Event,60178,1,Cross Centerline,1,9999
1,12 Clock Point,60178,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,60178,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,60179,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60179,2,Cross Median,1,5555
2,Non-Harmful Event,60179,3,Ran Off Roadway - Right,1,5555
3,Non-Harmful Event,60179,4,Cross Median,1,5555
4,Non-Harmful Event,60179,5,Ran Off Roadway - Left,1,5555
5,Non-Harmful Event,60179,6,Cross Median,1,5555
6,12 Clock Point,60179,7,Motor Vehicle In-Transport ,1,2
7,Non-Harmful Event,60179,8,Ran Off Roadway - Right,2,5555
8,Not Reported,60179,9,Shrubbery,2,9999
9,Non-Harmful Event,60179,10,Ran Off Roadway - Left,1,5555
10,Not Reported,60179,11,Fence,1,9999
0,Non-Harmful Event,60181,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60181,2,Curb,1,9999
2,12 Clock Point,60181,3,Fence,1,9999
3,12 Clock Point,60181,4,Fence,1,9999
4,12 Clock Point,60181,5,Ditch,1,9999
5,Non-Collision,60181,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60181,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60181,2,Curb,1,9999
2,12 Clock Point,60181,3,Fence,1,9999
3,12 Clock Point,60181,4,Fence,1,9999
4,12 Clock Point,60181,5,Ditch,1,9999
5,Non-Collision,60181,6,Rollover/Overturn,1,9999
0,12 Clock Point,60182,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,60182,2,Ran Off Roadway - Right,3,5555
2,Not Reported,60182,3,Curb,3,9999
3,Not Reported,60182,4,Tree (Standing Only),3,9999
4,Not Reported,60182,5,Wall,3,9999
0,12 Clock Point,60182,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,60182,2,Ran Off Roadway - Right,3,5555
2,Not Reported,60182,3,Curb,3,9999
3,Not Reported,60182,4,Tree (Standing Only),3,9999
4,Not Reported,60182,5,Wall,3,9999
0,Non-Collision,60184,1,Rollover/Overturn,1,9999
1,Other Objects Set-In-Motion,60184,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Harmful Event,60185,1,Cross Centerline,1,5555
1,12 Clock Point,60185,2,Motor Vehicle In-Transport ,1,2
0,Non-Collision,60186,1,Rollover/Overturn,2,9999
1,Other Objects Set-In-Motion,60186,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
2,Other Objects Set-In-Motion,60186,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
0,Non-Collision,60186,1,Rollover/Overturn,2,9999
1,Other Objects Set-In-Motion,60186,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
2,Other Objects Set-In-Motion,60186,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
0,Non-Collision,60186,1,Rollover/Overturn,2,9999
1,Other Objects Set-In-Motion,60186,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
2,Other Objects Set-In-Motion,60186,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
0,12 Clock Point,60191,1,Pedestrian,1,9999
1,12 Clock Point,60191,2,Motor Vehicle In-Transport ,2,1
2,Non-Harmful Event,60191,3,Ran Off Roadway - Left,1,5555
3,12 Clock Point,60191,4,Concrete Traffic Barrier,1,9999
0,12 Clock Point,60193,1,Pedestrian,1,9999
1,Non-Collision,60193,2,Fell/Jumped from Vehicle,1,9999
0,Unknown,60194,1,Pedestrian,1,9999
0,12 Clock Point,60197,1,Motor Vehicle In-Transport ,1,2
1,7 Clock Point,60197,2,Motor Vehicle In-Transport ,2,3
2,7 Clock Point,60197,3,Motor Vehicle In-Transport ,1,3
3,12 Clock Point,60197,4,Motor Vehicle In-Transport ,3,4
4,Non-Harmful Event,60197,5,Ran Off Roadway - Right,1,5555
5,12 Clock Point,60197,6,Traffic Signal Support,1,9999
0,12 Clock Point,60198,1,Pedestrian,1,9999
0,12 Clock Point,60201,1,Pedestrian,1,9999
0,12 Clock Point,60202,1,Pedestrian,1,9999
0,12 Clock Point,60202,1,Pedestrian,1,9999
0,12 Clock Point,60206,1,Pedestrian,1,9999
0,12 Clock Point,60208,1,Motor Vehicle In-Transport ,1,2
0,5 Clock Point,60209,1,Pedalcyclist,1,9999
1,12 Clock Point,60209,2,Pedalcyclist,2,9999
0,5 Clock Point,60209,1,Pedalcyclist,1,9999
1,12 Clock Point,60209,2,Pedalcyclist,2,9999
0,12 Clock Point,60211,1,Pedestrian,1,9999
0,12 Clock Point,60212,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60213,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60213,2,Curb,1,9999
2,12 Clock Point,60213,3,Tree (Standing Only),1,9999
0,Non-Collision,60214,1,Rollover/Overturn,1,9999
0,Non-Harmful Event,60216,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60216,2,Curb,1,9999
2,Not Reported,60216,3,Other Fixed Object,1,9999
3,Not Reported,60216,4,Utility Pole/Light Support,1,9999
4,Not Reported,60216,5,Fence,1,9999
0,Non-Harmful Event,60219,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,60219,2,Rollover/Overturn,1,9999
0,Non-Harmful Event,60219,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,60219,2,Rollover/Overturn,1,9999
0,Non-Harmful Event,60221,1,Cross Centerline,1,5555
1,12 Clock Point,60221,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60221,3,Ran Off Roadway - Right,3,5555
3,Non-Collision,60221,4,Rollover/Overturn,3,9999
0,12 Clock Point,60223,1,Pedestrian,1,9999
0,12 Clock Point,60226,1,Pedestrian,1,9999
0,Undercarriage,60227,1,Pedalcyclist,1,9999
0,12 Clock Point,60228,1,Pedalcyclist,1,9999
0,12 Clock Point,60230,1,Pedestrian,1,9999
0,Non-Harmful Event,60231,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60231,2,Curb,1,9999
2,Not Reported,60231,3,Pedestrian,1,9999
3,Not Reported,60231,4,Pedestrian,1,9999
0,12 Clock Point,60235,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60235,2,Motor Vehicle In-Transport ,4,3
2,Non-Collision,60235,3,Rollover/Overturn,4,9999
3,Not Reported,60235,4,Motor Vehicle In-Transport ,4,5
0,12 Clock Point,60235,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60235,2,Motor Vehicle In-Transport ,4,3
2,Non-Collision,60235,3,Rollover/Overturn,4,9999
3,Not Reported,60235,4,Motor Vehicle In-Transport ,4,5
0,Non-Harmful Event,60236,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60236,2,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,60236,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60236,2,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,60239,1,Ran Off Roadway - Right,1,9999
1,12 Clock Point,60239,2,Pedestrian,1,9999
2,1 Clock Point,60239,3,Parked Motor Vehicle ,1,2
3,Set-In-Motion (Not a Clock Point),60239,4,Parked Motor Vehicle ,1,3
4,Set-In-Motion (Not a Clock Point),60239,5,Parked Motor Vehicle ,1,4
0,Non-Harmful Event,60241,1,Ran Off Roadway - Right,1,5555
1,Left,60241,2,Tree (Standing Only),1,9999
2,Left,60241,3,Other Fixed Object,1,9999
3,Non-Collision,60241,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,60241,1,Ran Off Roadway - Right,1,5555
1,Left,60241,2,Tree (Standing Only),1,9999
2,Left,60241,3,Other Fixed Object,1,9999
3,Non-Collision,60241,4,Rollover/Overturn,1,9999
0,12 Clock Point,60243,1,Pedestrian,1,9999
0,Non-Harmful Event,60244,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60244,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60244,3,Ran Off Roadway - Right,1,5555
3,Non-Collision,60244,4,Rollover/Overturn,1,9999
4,Non-Collision,60244,5,Fire/Explosion,1,9999
0,Non-Collision,60253,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,60253,2,Ran Off Roadway - Left,1,5555
2,Other Objects Set-In-Motion,60253,3,Guardrail Face,1,9999
3,Not Reported,60253,4,Guardrail Face,1,9999
0,12 Clock Point,60257,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,60257,2,Rollover/Overturn,2,9999
0,12 Clock Point,60257,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,60257,2,Rollover/Overturn,2,9999
0,12 Clock Point,60257,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,60257,2,Rollover/Overturn,2,9999
0,Non-Harmful Event,60258,1,Cross Centerline,1,5555
1,12 Clock Point,60258,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60258,3,Cross Centerline,1,5555
3,Non-Harmful Event,60258,4,Ran Off Roadway - Right,1,5555
4,Not Reported,60258,5,Parked Motor Vehicle ,1,3
0,Non-Harmful Event,60258,1,Cross Centerline,1,5555
1,12 Clock Point,60258,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60258,3,Cross Centerline,1,5555
3,Non-Harmful Event,60258,4,Ran Off Roadway - Right,1,5555
4,Not Reported,60258,5,Parked Motor Vehicle ,1,3
0,12 Clock Point,60259,1,Pedestrian,1,9999
0,12 Clock Point,60259,1,Pedestrian,1,9999
0,12 Clock Point,60260,1,Pedestrian,1,9999
0,Non-Harmful Event,60263,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60263,2,Curb,1,9999
2,Undercarriage,60263,3,Curb,1,9999
3,Non-Collision,60263,4,Rollover/Overturn,1,9999
4,Not Reported,60263,5,Other Fixed Object,1,9999
0,12 Clock Point,60265,1,Pedestrian,1,9999
0,Non-Harmful Event,60266,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60266,2,Curb,1,9999
2,Not Reported,60266,3,Traffic Sign Support ,1,9999
3,Non-Harmful Event,60266,4,Re-entering Roadway,1,5555
0,Non-Harmful Event,60267,1,Cross Centerline,1,5555
1,12 Clock Point,60267,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60268,1,Pedalcyclist,1,9999
0,12 Clock Point,60269,1,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,60271,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,60275,1,Pedestrian,1,9999
0,12 Clock Point,60276,1,Motor Vehicle In-Transport ,1,2
1,Undercarriage,60276,2,Curb,1,9999
2,12 Clock Point,60276,3,Boulder,1,9999
0,12 Clock Point,60277,1,Pedestrian,1,9999
0,Non-Harmful Event,60278,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,60278,2,Rollover/Overturn,1,9999
2,Not Reported,60278,3,Boulder,1,9999
3,Other Objects Set-In-Motion,60278,4,Boulder,1,9999
0,12 Clock Point,60281,1,Pedestrian,1,9999
0,12 Clock Point,60282,1,Pedalcyclist,1,9999
0,Non-Harmful Event,60284,1,Cross Centerline,1,9999
1,Non-Harmful Event,60284,2,Ran Off Roadway - Left,1,9999
2,12 Clock Point,60284,3,Wall,1,9999
0,12 Clock Point,60286,1,Pedalcyclist,1,9999
0,Non-Harmful Event,60287,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60287,2,Curb,1,9999
2,12 Clock Point,60287,3,Guardrail Face,1,9999
3,Left,60287,4,Guardrail Face,1,9999
4,Non-Harmful Event,60287,5,Re-entering Roadway,1,5555
5,Non-Collision,60287,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60289,1,Ran Off Roadway - Right,1,5555
1,Right,60289,2,Embankment,1,9999
2,Non-Collision,60289,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,60289,1,Ran Off Roadway - Right,1,5555
1,Right,60289,2,Embankment,1,9999
2,Non-Collision,60289,3,Rollover/Overturn,1,9999
0,12 Clock Point,60290,1,Pedestrian,1,9999
0,12 Clock Point,60290,1,Pedestrian,1,9999
0,12 Clock Point,60290,1,Pedestrian,1,9999
0,Unknown,60292,1,Pedestrian,1,9999
0,12 Clock Point,60294,1,Pedestrian,1,9999
1,12 Clock Point,60294,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60295,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60295,2,Bridge Rail (Includes parapet),1,9999
0,Not Reported,60296,1,Pedestrian,1,9999
0,Not Reported,60296,1,Pedestrian,1,9999
0,Not Reported,60296,1,Pedestrian,1,9999
0,Non-Harmful Event,60301,1,Cross Centerline,1,5555
1,Right,60301,2,Motor Vehicle In-Transport ,1,2
2,12 Clock Point,60301,3,Motor Vehicle In-Transport ,3,1
0,Non-Harmful Event,60302,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60302,2,Vehicle Went Airborne,1,5555
2,Unknown,60302,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,60303,1,Ran Off Roadway - Right,1,9999
1,9 Clock Point,60303,2,Fence,1,9999
2,9 Clock Point,60303,3,Traffic Sign Support ,1,9999
3,9 Clock Point,60303,4,Wall,1,9999
4,9 Clock Point,60303,5,Utility Pole/Light Support,1,9999
5,Set-In-Motion (Not a Clock Point),60303,6,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,60304,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60304,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60304,3,Cross Centerline,1,5555
3,Non-Harmful Event,60304,4,Ran Off Roadway - Left,1,5555
4,Right,60304,5,Parked Motor Vehicle ,1,2
5,Other Objects Set-In-Motion,60304,6,Fence,1,9999
0,Non-Harmful Event,60304,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60304,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60304,3,Cross Centerline,1,5555
3,Non-Harmful Event,60304,4,Ran Off Roadway - Left,1,5555
4,Right,60304,5,Parked Motor Vehicle ,1,2
5,Other Objects Set-In-Motion,60304,6,Fence,1,9999
0,Non-Harmful Event,60306,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60306,2,Embankment,1,9999
0,Non-Harmful Event,60308,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60308,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60308,3,Cross Centerline,1,5555
3,Right,60308,4,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60311,1,Pedestrian,1,9999
0,12 Clock Point,60313,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60316,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60316,2,Motor Vehicle In-Transport ,2,3
0,12 Clock Point,60317,1,Pedestrian,1,9999
1,12 Clock Point,60317,2,Pedestrian,2,9999
0,12 Clock Point,60322,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60322,2,Cross Centerline,1,5555
2,7 Clock Point,60322,3,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,60322,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60322,2,Cross Centerline,1,5555
2,7 Clock Point,60322,3,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,60326,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60326,2,Ran Off Roadway - Right,1,5555
2,Not Reported,60326,3,Utility Pole/Light Support,1,9999
3,Non-Collision,60326,4,Rollover/Overturn,1,9999
4,Not Reported,60326,5,Ditch,1,9999
5,Other Objects Set-In-Motion,60326,6,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,12 Clock Point,60326,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60326,2,Ran Off Roadway - Right,1,5555
2,Not Reported,60326,3,Utility Pole/Light Support,1,9999
3,Non-Collision,60326,4,Rollover/Overturn,1,9999
4,Not Reported,60326,5,Ditch,1,9999
5,Other Objects Set-In-Motion,60326,6,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,12 Clock Point,60327,1,Pedestrian,1,9999
0,12 Clock Point,60329,1,Pedestrian,1,9999
0,12 Clock Point,60335,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60335,2,Motor Vehicle In-Transport ,1,3
0,Non-Harmful Event,60340,1,Ran Off Roadway - Right,1,5555
1,Unknown,60340,2,"Other Post, Other Pole or Other Supports",1,9999
2,Non-Harmful Event,60340,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60340,4,Cross Centerline,1,5555
4,Non-Harmful Event,60340,5,Ran Off Roadway - Left,1,5555
5,Unknown,60340,6,Embankment,1,9999
6,Non-Collision,60340,7,Rollover/Overturn,1,9999
7,Non-Harmful Event,60340,8,Re-entering Roadway,1,5555
8,12 Clock Point,60340,9,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60340,1,Ran Off Roadway - Right,1,5555
1,Unknown,60340,2,"Other Post, Other Pole or Other Supports",1,9999
2,Non-Harmful Event,60340,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60340,4,Cross Centerline,1,5555
4,Non-Harmful Event,60340,5,Ran Off Roadway - Left,1,5555
5,Unknown,60340,6,Embankment,1,9999
6,Non-Collision,60340,7,Rollover/Overturn,1,9999
7,Non-Harmful Event,60340,8,Re-entering Roadway,1,5555
8,12 Clock Point,60340,9,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,60343,1,Pedestrian,1,9999
0,Non-Harmful Event,60344,1,Ran Off Roadway - Right,1,9999
1,Undercarriage,60344,2,Curb,1,9999
2,12 Clock Point,60344,3,Guardrail Face,1,9999
3,Non-Harmful Event,60344,4,Vehicle Went Airborne,1,9999
4,Non-Collision,60344,5,Rollover/Overturn,1,9999
5,Not Reported,60344,6,Wall,1,9999
0,12 Clock Point,60345,1,Pedestrian,1,9999
0,12 Clock Point,60347,1,Pedestrian,1,9999
0,12 Clock Point,60347,1,Pedestrian,1,9999
0,12 Clock Point,60349,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60349,2,Cross Centerline,2,5555
2,12 Clock Point,60349,3,Motor Vehicle In-Transport ,2,3
0,Non-Harmful Event,60350,1,Cross Centerline,1,5555
1,12 Clock Point,60350,2,Pedalcyclist,1,9999
2,Non-Harmful Event,60350,3,Ran Off Roadway - Left,1,5555
3,Undercarriage,60350,4,Curb,1,9999
4,Other Objects Set-In-Motion,60350,5,Utility Pole/Light Support,1,9999
0,Non-Harmful Event,60351,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60351,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,60351,3,Re-entering Roadway,1,5555
3,Non-Collision,60351,4,Rollover/Overturn,1,9999
4,Non-Harmful Event,60351,5,Ran Off Roadway - Left,1,5555
5,Not Reported,60351,6,Concrete Traffic Barrier,1,9999
0,12 Clock Point,60352,1,Pedestrian,1,9999
0,12 Clock Point,60357,1,Pedestrian,1,9999
0,12 Clock Point,60357,1,Pedestrian,1,9999
0,12 Clock Point,60357,1,Pedestrian,1,9999
0,12 Clock Point,60358,1,Pedestrian,1,9999
0,Non-Harmful Event,60362,1,Ran Off Roadway - Right,1,5555
1,Left,60362,2,Utility Pole/Light Support,1,9999
2,Left,60362,3,Utility Pole/Light Support,1,9999
3,Not Reported,60362,4,Parked Motor Vehicle ,1,2
0,12 Clock Point,60366,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60367,1,Pedestrian,1,9999
0,12 Clock Point,60367,1,Pedestrian,1,9999
0,12 Clock Point,60368,1,Pedestrian,1,9999
0,12 Clock Point,60369,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60372,1,Pedalcyclist,1,9999
0,Non-Harmful Event,60376,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60376,2,Guardrail Face,1,9999
2,Other Objects Set-In-Motion,60376,3,Guardrail Face,1,9999
0,Non-Harmful Event,60378,1,Ran Off Roadway - Left,1,5555
1,10 Clock Point,60378,2,Curb,1,9999
2,2 Clock Point,60378,3,Curb,1,9999
3,10 Clock Point,60378,4,Curb,1,9999
4,2 Clock Point,60378,5,Curb,1,9999
5,4 Clock Point,60378,6,Curb,1,9999
6,Right,60378,7,Tree (Standing Only),1,9999
0,12 Clock Point,60380,1,Pedestrian,1,9999
0,Non-Harmful Event,60381,1,Cross Centerline,1,5555
1,12 Clock Point,60381,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60384,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60384,2,Motor Vehicle In-Transport ,2,3
2,Non-Harmful Event,60384,3,Ran Off Roadway - Left,2,5555
3,Non-Collision,60384,4,Fire/Explosion,2,9999
0,12 Clock Point,60385,1,Pedestrian,1,9999
0,12 Clock Point,60385,1,Pedestrian,1,9999
0,12 Clock Point,60386,1,Motor Vehicle In-Transport ,1,2
1,Right,60386,2,Motor Vehicle In-Transport ,1,2
2,12 Clock Point,60386,3,Motor Vehicle In-Transport ,3,1
3,Non-Harmful Event,60386,4,Ran Off Roadway - Left,1,5555
4,12 Clock Point,60386,5,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,60389,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60389,2,"Post, Pole or Other Supports",1,9999
2,12 Clock Point,60389,3,"Post, Pole or Other Supports",1,9999
3,10 Clock Point,60389,4,Curb,1,9999
4,Non-Harmful Event,60389,5,Cross Median,1,5555
5,12 Clock Point,60389,6,Motor Vehicle In-Transport ,1,2
